_id,Code,Municipality
1,2101, Baldwin Township
2,2102, Collier Township
3,2103, Crescent Township
4,2104, East Deer Township
5,2105, Elizabeth Township
6,2106, Harrison Township
7,2107, Leet Township
8,2108, McCandless Township
9,2109, Mount Lebanon Township
10,2110, Neville Township
11,2111, North Versailles Township
12,2112, Ohara Township
13,2113, Penn Hills Township
14,2114, Reserve Township
15,2115, Robinson Township
16,2116, Ross Township
17,2117, Scott Township
18,2118, Shaler Township
19,2119, South Fayette Township
20,2120, South Versailles Township
21,2121, Springdale Township
22,2122, Stowe Township
23,2123, Upper Saint Clair Township
24,2124, Wilkins Township
25,2125, Aleppo Township
26,2126, Kennedy Township
27,2202, Fawn Township
28,2203, Findlay Township
29,2204, Forward Township
30,2206, Frazer Township
31,2207, Hampton Township
32,2208, Harmar Township
33,2209, Indiana Township
34,2211, Kilbuck Township
35,2212, Marshall Township
36,2213, Moon Township
37,2214, North Fayette Township
38,2215, Ohio Township
39,2216, Pine Township
40,2217, Richland Township
41,2219, South Park Township
42,2220, West Deer Township
43,2301, Pittsburgh City
44,2302, Clairton City
45,2303, Duquesne City
46,2304, McKeesport City
47,2401, Aspinwall Borough
48,2402, Avalon Borough
49,2403, Baldwin Borough
50,2404, Bellevue Borough
51,2405, Ben Avon Borough
52,2406, Ben Avon Heights Borough
53,2407, Bethel Park Borough
54,2408, Blawnox Borough
55,2409, Brackenridge Borough
56,2410, Braddock Borough
57,2411, Braddock Hills Borough
58,2412, Bradfordwoods Borough
59,2413, Brentwood Borough
60,2414, Bridgeville Borough
61,2415, Carnegie Borough
62,2416, Castle Shannon Borough
63,2417, Chalfant Borough
64,2418, Cheswick Borough
65,2419, Churchill Borough
66,2420, Coraopolis Borough
67,2421, Crafton Borough
68,2422, Dormont Borough
69,2423, Dravosburg Borough
70,2424, East McKeesport Borough
71,2425, East Pittsburgh Borough
72,2426, Edgewood Borough
73,2427, Edgeworth Borough
74,2428, Elizabeth Borough
75,2429, Emsworth Borough
76,2430, Etna Borough
77,2431, Forest Hills Borough
78,2432, Fox Chapel Borough
79,2433, Glassport Borough
80,2434, Glenfield Borough
81,2435, Green tree Borough
82,2436, Haysville Borough
83,2437, Heidelberg Borough
84,2438, Homestead Borough
85,2439, Ingram Borough
86,2440, Jefferson Hills Borough
87,2441, Leetdale Borough
88,2442, Liberty Borough
89,2443, Lincoln Borough
90,2444, McKees Rocks Borough
91,2445, Millvale Borough
92,2446, Monroeville Borough
93,2447, Mount Oliver Borough
94,2448, Munhall Borough
95,2449, North Braddock Borough
96,2450, Oakdale Borough
97,2451, Oakmont Borough
98,2452, Osborne Borough
99,2453, Pitcairn Borough
100,2454, Pleasant Hills Borough
101,2455, Port Vue Borough
102,2456, Rankin Borough
103,2457, Rosslyn Farms Borough
104,2458, Sewickley Borough
105,2459, Sewickley Heights Borough
106,2460, Sewickley Hills Borough
107,2461, Sharpsburg Borough
108,2462, Springdale Borough
109,2463, Swissvale Borough
110,2464, Tarentum Borough
111,2465, Thornburg Borough
112,2466, Plum Borough
113,2467, Turtle Creek Borough
114,2468, Verona Borough
115,2469, Versailles Borough
116,2470, Wall Borough
117,2471, West Elizabeth Borough
118,2472, West Homestead Borough
119,2473, West Mifflin Borough
120,2474, West View Borough
121,2475, Whitaker Borough
122,2476, Whitehall Borough
123,2477, White Oak Borough
124,2478, Wilkinsburg Borough
125,2479, Wilmerding Borough
126,2480, Bell Acres Borough
127,2481, Franklin Park Borough
128,2483, Pennsbury Village Borough
129,2490, McDonald Borough
130,2491, Trafford Borough
